Date,avg_sentiment_all_news,avg_sentiment_top_news
5/8/2019,-0.100746258,-0.102464996
6/4/2019,-0.091461639,-0.133684999
8/10/2018,-0.151584848,-0.397685
5/28/2018,-0.046890875,-0.260626085
9/11/2017,-0.070223052,-0.042380952
8/11/2017,-0.051175127,-0.193544998
3/1/2016,-0.115526054,-0.335089998
5/19/2015,-0.12673567,-0.238623809
11/22/2009,-0.038426487,-0.27627619
7/25/2009,-0.09689554,-0.295199996
9/9/2013,-0.096012887,-0.138024999
11/12/2014,-0.078693016,-0.211309996
9/26/2014,-0.112014046,-0.113095238
5/21/2013,-0.103592545,-0.069715
1/22/2013,-0.038974393,-0.065090002
3/9/2015,-0.183965195,-0.160640911
3/26/2013,-0.06938915,-0.1574
10/6/2012,-0.047862311,-0.169619048
4/17/2012,-0.041775263,-0.18696
8/11/2010,-0.129005741,-0.222675003
9/22/2019,-0.077274537,-0.052534999
6/6/2018,-0.030988426,-0.204119047
3/17/2018,-0.135798815,-0.055630556
4/25/2016,-0.099229537,-0.114695451
9/24/2010,-0.166474584,0.025904764
10/19/2009,-0.043092418,-0.25053
9/27/2009,-0.153471281,-0.081057501
6/28/2009,-0.176791844,-0.10675
7/15/2008,-0.065169613,-0.246129997
9/26/2008,-0.055630556,-0.205957142
1/6/2017,-0.057079191,-0.242329996
9/19/2013,-0.056846051,-0.100259999
3/6/2015,-0.148489489,-0.221264996
1/29/2011,-0.266884758,-0.251735
1/30/2011,-0.077893121,-0.264009994
7/17/2012,-0.025454143,-0.177307998
10/7/2011,-0.061369152,-0.088303451
5/6/2011,-0.193048879,-0.107919043
8/9/2009,-0.041053884,-0.324626083
11/2/2018,-0.095550212,-0.095550212
8/8/2018,-0.139803737,-0.208544999
8/11/2018,-0.149178656,-0.063156373
6/26/2018,-0.111311082,-0.237544998
10/5/2018,-0.063156373,-0.036188461
9/9/2018,-0.112203051,-0.156190001
9/1/2018,-0.09290967,-0.269755
10/3/2016,-0.116126609,-0.173642854
12/22/2015,-0.111388579,-0.212719999
9/2/2015,-0.152695326,-0.16148
5/3/2016,-0.110499876,-0.223508692
8/31/2016,-0.036562307,-0.153791667
4/15/2010,-0.06145452,-0.273666667
8/16/2010,-0.088037824,-0.331277267
6/25/2009,-0.113593888,-0.18657619
7/26/2016,-0.129564788,-0.111914285
5/13/2009,-0.047223171,-0.460964999
3/21/2009,-0.03520578,-0.179050002
8/15/2016,-0.096230292,-0.141563632
4/9/2015,-0.096371944,-0.137324997
8/1/2014,-0.193596559,-0.254364999
11/11/2012,-0.090246043,-0.179079996
2/2/2013,-0.123608485,-0.208747826
8/21/2011,-0.146961918,-0.255340907
1/23/2011,-0.106349238,-0.21590769
7/18/2011,-0.187756288,-0.398625
7/7/2011,-0.125152,-0.342917239
11/18/2011,-0.026160406,-0.297634997
2/14/2009,-0.090618502,-0.173555002
2/1/2008,-0.273666667,-0.193053124
5/27/2019,-0.131003586,-0.113103968
6/30/2018,-0.073560495,-0.22736
9/28/2017,-0.07471361,-0.264561901
1/28/2016,-0.102918637,0.007452173
12/15/2010,-0.207999999,-0.064576469
7/19/2010,-0.084429147,-0.098289999
3/12/2009,-0.125105063,-0.214540002
2/26/2017,-0.04976909,-0.286284998
1/27/2017,-0.048075972,-0.269563636
6/3/2014,-0.096016392,-0.072920001
9/21/2012,-0.052917953,-0.367444997
8/23/2012,-0.060029841,-0.116514999
2/12/2012,-0.061520723,-0.287549993
2/7/2008,-0.064576469,-0.400709997
11/1/2018,-0.126991019,-0.126991019
2/23/2019,-0.100286895,-0.374904998
1/24/2017,-0.015992276,-0.138449997
12/19/2016,-0.14050655,-0.155278262
12/1/2010,-0.135791638,-0.129686842
4/14/2010,-0.050131755,-0.101045002
9/28/2015,-0.055936913,-0.165394998
6/10/2010,-0.141673825,-0.129976188
6/19/2010,-0.136494349,-0.093823667
2/14/2008,-0.129686842,-0.024115003
7/17/2016,-0.182818209,-0.272942853
11/8/2016,0.020007436,-0.435624993
5/10/2015,-0.138818328,-0.359180001
1/24/2014,-0.128819285,-0.026772725
9/12/2013,-0.110456192,-0.175739999
2/16/2014,-0.133511394,-0.030075002
6/11/2014,-0.101984695,-0.145349997
2/4/2013,-0.042482282,-0.171342853
7/14/2012,-0.021572774,-0.210669564
11/14/2011,-0.043967753,-0.082859259
3/30/2012,-0.045106932,-0.352774997
5/23/2010,-0.091155625,-0.147404759
2/20/2010,-0.093823667,-0.232064996
9/29/2017,-0.081917845,-0.19971
6/29/2017,-0.054996394,-0.088674999
4/1/2015,-0.104691575,-0.182412403
7/3/2016,-0.195558955,-0.036958857
